"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6076","Баг пагинации на главной странице","chromium","Sun Feb 08 01:12:49 UTC 2026","failed","Sun Feb 08 01:12:55 UTC 2026","","tests.spec.js","",""
"","30007","Баг публикации отзыва на странице продукта","chromium","Sun Feb 08 01:17:02 UTC 2026","broken","Sun Feb 08 01:17:32 UTC 2026","","tests.spec.js","",""
"","30009","Баг неполного изображения товара на главной странице","chromium","Sun Feb 08 01:13:57 UTC 2026","broken","Sun Feb 08 01:14:27 UTC 2026","","tests.spec.js","",""
"","30008","Баг выбора количества товара>","chromium","Sun Feb 08 01:18:34 UTC 2026","broken","Sun Feb 08 01:19:04 UTC 2026","","tests.spec.js","",""
"","30008","Баг выбора валюты","chromium","Sun Feb 08 01:15:30 UTC 2026","broken","Sun Feb 08 01:16:00 UTC 2026","","tests.spec.js","",""
