"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6069","Баг выбора количества товара>","chromium","Thu Feb 20 00:39:40 GMT 2025","passed","Thu Feb 20 00:39:46 GMT 2025","","tests.spec.js","",""
"","30011","Баг публикации отзыва на странице продукта","chromium","Thu Feb 20 00:39:10 GMT 2025","broken","Thu Feb 20 00:39:40 GMT 2025","","tests.spec.js","",""
"","10191","Баг выбора валюты","chromium","Thu Feb 20 00:37:58 GMT 2025","passed","Thu Feb 20 00:38:08 GMT 2025","","tests.spec.js","",""
"","7294","Баг пагинации на главной странице","chromium","Thu Feb 20 00:36:18 GMT 2025","failed","Thu Feb 20 00:36:25 GMT 2025","","tests.spec.js","",""
"","30008","Баг неполного изображения товара на главной странице","chromium","Thu Feb 20 00:37:27 GMT 2025","broken","Thu Feb 20 00:37:57 GMT 2025","","tests.spec.js","",""
