"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30010","Баг публикации отзыва на странице продукта","chromium","Mon Sep 08 00:45:52 UTC 2025","broken","Mon Sep 08 00:46:22 UTC 2025","","tests.spec.js","",""
"","30014","Баг неполного изображения товара на главной странице","chromium","Mon Sep 08 00:44:09 UTC 2025","broken","Mon Sep 08 00:44:39 UTC 2025","","tests.spec.js","",""
"","30009","Баг выбора количества товара>","chromium","Mon Sep 08 00:47:24 UTC 2025","broken","Mon Sep 08 00:47:54 UTC 2025","","tests.spec.js","",""
"","10786","Баг выбора валюты","chromium","Mon Sep 08 00:44:40 UTC 2025","passed","Mon Sep 08 00:44:51 UTC 2025","","tests.spec.js","",""
"","6771","Баг пагинации на главной странице","chromium","Mon Sep 08 00:43:00 UTC 2025","failed","Mon Sep 08 00:43:07 UTC 2025","","tests.spec.js","",""
