"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30009","Баг выбора количества товара>","chromium","Sat Feb 14 01:02:14 UTC 2026","broken","Sat Feb 14 01:02:44 UTC 2026","","tests.spec.js","",""
"","30008","Баг публикации отзыва на странице продукта","chromium","Sat Feb 14 01:00:42 UTC 2026","broken","Sat Feb 14 01:01:12 UTC 2026","","tests.spec.js","",""
"","30009","Баг выбора валюты","chromium","Sat Feb 14 00:59:10 UTC 2026","broken","Sat Feb 14 00:59:40 UTC 2026","","tests.spec.js","",""
"","6171","Баг пагинации на главной странице","chromium","Sat Feb 14 00:56:28 UTC 2026","failed","Sat Feb 14 00:56:35 UTC 2026","","tests.spec.js","",""
"","30008","Баг неполного изображения товара на главной странице","chromium","Sat Feb 14 00:57:37 UTC 2026","broken","Sat Feb 14 00:58:07 UTC 2026","","tests.spec.js","",""
