"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6486","Баг пагинации на главной странице","chromium","Thu May 01 00:45:59 GMT 2025","failed","Thu May 01 00:46:06 GMT 2025","","tests.spec.js","",""
"","30009","Баг публикации отзыва на странице продукта","chromium","Thu May 01 00:48:51 GMT 2025","broken","Thu May 01 00:49:21 GMT 2025","","tests.spec.js","",""
"","6552","Баг выбора количества товара>","chromium","Thu May 01 00:49:21 GMT 2025","passed","Thu May 01 00:49:28 GMT 2025","","tests.spec.js","",""
"","30009","Баг неполного изображения товара на главной странице","chromium","Thu May 01 00:47:08 GMT 2025","broken","Thu May 01 00:47:38 GMT 2025","","tests.spec.js","",""
"","10384","Баг выбора валюты","chromium","Thu May 01 00:47:39 GMT 2025","passed","Thu May 01 00:47:49 GMT 2025","","tests.spec.js","",""
