"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30008","Баг публикации отзыва на странице продукта","chromium","Thu Apr 02 01:07:30 UTC 2026","broken","Thu Apr 02 01:08:00 UTC 2026","","tests.spec.js","",""
"","30009","Баг неполного изображения товара на главной странице","chromium","Thu Apr 02 01:04:26 UTC 2026","broken","Thu Apr 02 01:04:56 UTC 2026","","tests.spec.js","",""
"","30009","Баг выбора валюты","chromium","Thu Apr 02 01:05:58 UTC 2026","broken","Thu Apr 02 01:06:28 UTC 2026","","tests.spec.js","",""
"","30009","Баг выбора количества товара>","chromium","Thu Apr 02 01:09:03 UTC 2026","broken","Thu Apr 02 01:09:33 UTC 2026","","tests.spec.js","",""
"","6519","Баг пагинации на главной странице","chromium","Thu Apr 02 01:03:17 UTC 2026","failed","Thu Apr 02 01:03:23 UTC 2026","","tests.spec.js","",""
