"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30007","Баг публикации отзыва на странице продукта","chromium","Fri Feb 06 00:58:25 UTC 2026","broken","Fri Feb 06 00:58:55 UTC 2026","","tests.spec.js","",""
"","30008","Баг неполного изображения товара на главной странице","chromium","Fri Feb 06 00:55:20 UTC 2026","broken","Fri Feb 06 00:55:50 UTC 2026","","tests.spec.js","",""
"","30011","Баг выбора количества товара>","chromium","Fri Feb 06 00:59:57 UTC 2026","broken","Fri Feb 06 01:00:27 UTC 2026","","tests.spec.js","",""
"","30009","Баг выбора валюты","chromium","Fri Feb 06 00:56:53 UTC 2026","broken","Fri Feb 06 00:57:23 UTC 2026","","tests.spec.js","",""
"","6076","Баг пагинации на главной странице","chromium","Fri Feb 06 00:54:12 UTC 2026","failed","Fri Feb 06 00:54:18 UTC 2026","","tests.spec.js","",""
