"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10075","Баг выбора валюты","chromium","Fri Nov 22 09:07:39 GMT 2024","passed","Fri Nov 22 09:07:49 GMT 2024","","tests.spec.js","",""
"","10181","Баг публикации отзыва на странице продукта","chromium","Fri Nov 22 09:07:49 GMT 2024","passed","Fri Nov 22 09:07:59 GMT 2024","","tests.spec.js","",""
"","10748","Баг пагинации на главной странице","chromium","Fri Nov 22 09:07:26 GMT 2024","passed","Fri Nov 22 09:07:37 GMT 2024","","tests.spec.js","",""
"","1460","Баг неполного изображения товара на главной странице","chromium","Fri Nov 22 09:07:37 GMT 2024","passed","Fri Nov 22 09:07:39 GMT 2024","","tests.spec.js","",""
"","6770","Баг выбора количества товара>","chromium","Fri Nov 22 09:07:59 GMT 2024","passed","Fri Nov 22 09:08:06 GMT 2024","","tests.spec.js","",""
