"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30011","Баг публикации отзыва на странице продукта","chromium","Fri Jul 25 00:47:41 GMT 2025","broken","Fri Jul 25 00:48:11 GMT 2025","","tests.spec.js","",""
"","10133","Баг выбора валюты","chromium","Fri Jul 25 00:46:30 GMT 2025","passed","Fri Jul 25 00:46:40 GMT 2025","","tests.spec.js","",""
"","30012","Баг неполного изображения товара на главной странице","chromium","Fri Jul 25 00:45:59 GMT 2025","broken","Fri Jul 25 00:46:29 GMT 2025","","tests.spec.js","",""
"","6137","Баг выбора количества товара>","chromium","Fri Jul 25 00:48:12 GMT 2025","passed","Fri Jul 25 00:48:18 GMT 2025","","tests.spec.js","",""
"","6471","Баг пагинации на главной странице","chromium","Fri Jul 25 00:44:50 GMT 2025","failed","Fri Jul 25 00:44:57 GMT 2025","","tests.spec.js","",""
