"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30007","Баг выбора количества товара>","chromium","Sun Nov 16 00:50:52 UTC 2025","broken","Sun Nov 16 00:51:22 UTC 2025","","tests.spec.js","",""
"","30007","Баг публикации отзыва на странице продукта","chromium","Sun Nov 16 00:49:20 UTC 2025","broken","Sun Nov 16 00:49:50 UTC 2025","","tests.spec.js","",""
"","30009","Баг выбора валюты","chromium","Sun Nov 16 00:47:48 UTC 2025","broken","Sun Nov 16 00:48:18 UTC 2025","","tests.spec.js","",""
"","6418","Баг пагинации на главной странице","chromium","Sun Nov 16 00:45:06 UTC 2025","failed","Sun Nov 16 00:45:13 UTC 2025","","tests.spec.js","",""
"","30008","Баг неполного изображения товара на главной странице","chromium","Sun Nov 16 00:46:15 UTC 2025","broken","Sun Nov 16 00:46:45 UTC 2025","","tests.spec.js","",""
