"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1747","Баг пагинации на главной странице","chromium","Thu Dec 19 00:37:35 GMT 2024","passed","Thu Dec 19 00:37:37 GMT 2024","","tests.spec.js","",""
"","30011","Баг публикации отзыва на странице продукта","chromium","Thu Dec 19 00:38:50 GMT 2024","broken","Thu Dec 19 00:39:20 GMT 2024","","tests.spec.js","",""
"","1363","Баг неполного изображения товара на главной странице","chromium","Thu Dec 19 00:37:37 GMT 2024","passed","Thu Dec 19 00:37:38 GMT 2024","","tests.spec.js","",""
"","5799","Баг выбора количества товара>","chromium","Thu Dec 19 00:39:20 GMT 2024","passed","Thu Dec 19 00:39:26 GMT 2024","","tests.spec.js","",""
"","10112","Баг выбора валюты","chromium","Thu Dec 19 00:37:38 GMT 2024","passed","Thu Dec 19 00:37:48 GMT 2024","","tests.spec.js","",""
