"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6989","Баг выбора количества товара>","chromium","Fri Jul 18 00:48:28 GMT 2025","passed","Fri Jul 18 00:48:35 GMT 2025","","tests.spec.js","",""
"","30011","Баг неполного изображения товара на главной странице","chromium","Fri Jul 18 00:46:15 GMT 2025","broken","Fri Jul 18 00:46:45 GMT 2025","","tests.spec.js","",""
"","10007","Баг выбора валюты","chromium","Fri Jul 18 00:46:46 GMT 2025","passed","Fri Jul 18 00:46:56 GMT 2025","","tests.spec.js","",""
"","30008","Баг публикации отзыва на странице продукта","chromium","Fri Jul 18 00:47:57 GMT 2025","broken","Fri Jul 18 00:48:27 GMT 2025","","tests.spec.js","",""
"","6452","Баг пагинации на главной странице","chromium","Fri Jul 18 00:45:06 GMT 2025","failed","Fri Jul 18 00:45:13 GMT 2025","","tests.spec.js","",""
