"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30011","Баг выбора количества товара>","chromium","Sun Oct 12 00:48:09 UTC 2025","broken","Sun Oct 12 00:48:39 UTC 2025","","tests.spec.js","",""
"","30010","Баг выбора валюты","chromium","Sun Oct 12 00:45:05 UTC 2025","broken","Sun Oct 12 00:45:35 UTC 2025","","tests.spec.js","",""
"","30011","Баг публикации отзыва на странице продукта","chromium","Sun Oct 12 00:46:37 UTC 2025","broken","Sun Oct 12 00:47:07 UTC 2025","","tests.spec.js","",""
"","30009","Баг неполного изображения товара на главной странице","chromium","Sun Oct 12 00:43:33 UTC 2025","broken","Sun Oct 12 00:44:03 UTC 2025","","tests.spec.js","",""
"","6383","Баг пагинации на главной странице","chromium","Sun Oct 12 00:42:24 UTC 2025","failed","Sun Oct 12 00:42:31 UTC 2025","","tests.spec.js","",""
