"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7198","Баг выбора количества товара>","chromium","Sun Apr 27 00:46:17 GMT 2025","passed","Sun Apr 27 00:46:24 GMT 2025","","tests.spec.js","",""
"","30010","Баг публикации отзыва на странице продукта","chromium","Sun Apr 27 00:45:46 GMT 2025","broken","Sun Apr 27 00:46:16 GMT 2025","","tests.spec.js","",""
"","10222","Баг выбора валюты","chromium","Sun Apr 27 00:44:34 GMT 2025","passed","Sun Apr 27 00:44:45 GMT 2025","","tests.spec.js","",""
"","30010","Баг неполного изображения товара на главной странице","chromium","Sun Apr 27 00:44:04 GMT 2025","broken","Sun Apr 27 00:44:34 GMT 2025","","tests.spec.js","",""
"","6433","Баг пагинации на главной странице","chromium","Sun Apr 27 00:42:55 GMT 2025","failed","Sun Apr 27 00:43:02 GMT 2025","","tests.spec.js","",""
