"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6247","Баг пагинации на главной странице","chromium","Sun Jul 20 00:51:05 GMT 2025","failed","Sun Jul 20 00:51:11 GMT 2025","","tests.spec.js","",""
"","6023","Баг выбора количества товара>","chromium","Sun Jul 20 00:54:27 GMT 2025","passed","Sun Jul 20 00:54:33 GMT 2025","","tests.spec.js","",""
"","10070","Баг выбора валюты","chromium","Sun Jul 20 00:52:44 GMT 2025","passed","Sun Jul 20 00:52:54 GMT 2025","","tests.spec.js","",""
"","30008","Баг публикации отзыва на странице продукта","chromium","Sun Jul 20 00:53:56 GMT 2025","broken","Sun Jul 20 00:54:26 GMT 2025","","tests.spec.js","",""
"","30010","Баг неполного изображения товара на главной странице","chromium","Sun Jul 20 00:52:13 GMT 2025","broken","Sun Jul 20 00:52:43 GMT 2025","","tests.spec.js","",""
