"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30009","Баг неполного изображения товара на главной странице","chromium","Thu Mar 26 01:06:18 UTC 2026","broken","Thu Mar 26 01:06:48 UTC 2026","","tests.spec.js","",""
"","30008","Баг выбора количества товара>","chromium","Thu Mar 26 01:10:55 UTC 2026","broken","Thu Mar 26 01:11:25 UTC 2026","","tests.spec.js","",""
"","30008","Баг публикации отзыва на странице продукта","chromium","Thu Mar 26 01:09:23 UTC 2026","broken","Thu Mar 26 01:09:53 UTC 2026","","tests.spec.js","",""
"","6292","Баг пагинации на главной странице","chromium","Thu Mar 26 01:05:09 UTC 2026","failed","Thu Mar 26 01:05:15 UTC 2026","","tests.spec.js","",""
"","30009","Баг выбора валюты","chromium","Thu Mar 26 01:07:51 UTC 2026","broken","Thu Mar 26 01:08:21 UTC 2026","","tests.spec.js","",""
