"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6056","Баг выбора количества товара>","chromium","Thu Dec 12 00:38:39 GMT 2024","passed","Thu Dec 12 00:38:45 GMT 2024","","tests.spec.js","",""
"","10138","Баг выбора валюты","chromium","Thu Dec 12 00:38:18 GMT 2024","passed","Thu Dec 12 00:38:28 GMT 2024","","tests.spec.js","",""
"","1371","Баг неполного изображения товара на главной странице","chromium","Thu Dec 12 00:38:17 GMT 2024","passed","Thu Dec 12 00:38:18 GMT 2024","","tests.spec.js","",""
"","10122","Баг публикации отзыва на странице продукта","chromium","Thu Dec 12 00:38:28 GMT 2024","passed","Thu Dec 12 00:38:39 GMT 2024","","tests.spec.js","",""
"","1761","Баг пагинации на главной странице","chromium","Thu Dec 12 00:38:15 GMT 2024","passed","Thu Dec 12 00:38:17 GMT 2024","","tests.spec.js","",""
