"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30011","Баг выбора валюты","chromium","Thu Feb 19 01:02:13 UTC 2026","broken","Thu Feb 19 01:02:43 UTC 2026","","tests.spec.js","",""
"","30007","Баг выбора количества товара>","chromium","Thu Feb 19 01:05:18 UTC 2026","broken","Thu Feb 19 01:05:48 UTC 2026","","tests.spec.js","",""
"","30008","Баг публикации отзыва на странице продукта","chromium","Thu Feb 19 01:03:46 UTC 2026","broken","Thu Feb 19 01:04:16 UTC 2026","","tests.spec.js","",""
"","6210","Баг пагинации на главной странице","chromium","Thu Feb 19 00:59:32 UTC 2026","failed","Thu Feb 19 00:59:38 UTC 2026","","tests.spec.js","",""
"","30010","Баг неполного изображения товара на главной странице","chromium","Thu Feb 19 01:00:41 UTC 2026","broken","Thu Feb 19 01:01:11 UTC 2026","","tests.spec.js","",""
