"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30009","Баг выбора валюты","chromium","Sun May 03 01:27:14 UTC 2026","broken","Sun May 03 01:27:44 UTC 2026","","tests.spec.js","",""
"","30009","Баг выбора количества товара>","chromium","Sun May 03 01:30:19 UTC 2026","broken","Sun May 03 01:30:49 UTC 2026","","tests.spec.js","",""
"","30008","Баг неполного изображения товара на главной странице","chromium","Sun May 03 01:25:42 UTC 2026","broken","Sun May 03 01:26:12 UTC 2026","","tests.spec.js","",""
"","30008","Баг публикации отзыва на странице продукта","chromium","Sun May 03 01:28:47 UTC 2026","broken","Sun May 03 01:29:17 UTC 2026","","tests.spec.js","",""
"","6279","Баг пагинации на главной странице","chromium","Sun May 03 01:24:33 UTC 2026","failed","Sun May 03 01:24:39 UTC 2026","","tests.spec.js","",""
