"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30008","Баг публикации отзыва на странице продукта","chromium","Mon Dec 22 00:51:02 UTC 2025","broken","Mon Dec 22 00:51:32 UTC 2025","","tests.spec.js","",""
"","30007","Баг выбора валюты","chromium","Mon Dec 22 00:49:29 UTC 2025","broken","Mon Dec 22 00:49:59 UTC 2025","","tests.spec.js","",""
"","30009","Баг выбора количества товара>","chromium","Mon Dec 22 00:52:34 UTC 2025","broken","Mon Dec 22 00:53:04 UTC 2025","","tests.spec.js","",""
"","6192","Баг пагинации на главной странице","chromium","Mon Dec 22 00:46:48 UTC 2025","failed","Mon Dec 22 00:46:55 UTC 2025","","tests.spec.js","",""
"","30008","Баг неполного изображения товара на главной странице","chromium","Mon Dec 22 00:47:57 UTC 2025","broken","Mon Dec 22 00:48:27 UTC 2025","","tests.spec.js","",""
