"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26162","Баг пагинации на главной странице","chromium","Sat May 16 01:28:40 UTC 2026","failed","Sat May 16 01:29:06 UTC 2026","","tests.spec.js","",""
"","30007","Баг публикации отзыва на странице продукта","chromium","Sat May 16 01:33:12 UTC 2026","broken","Sat May 16 01:33:42 UTC 2026","","tests.spec.js","",""
"","30010","Баг выбора количества товара>","chromium","Sat May 16 01:34:44 UTC 2026","broken","Sat May 16 01:35:14 UTC 2026","","tests.spec.js","",""
"","30009","Баг неполного изображения товара на главной странице","chromium","Sat May 16 01:30:08 UTC 2026","broken","Sat May 16 01:30:38 UTC 2026","","tests.spec.js","",""
"","30011","Баг выбора валюты","chromium","Sat May 16 01:31:40 UTC 2026","broken","Sat May 16 01:32:10 UTC 2026","","tests.spec.js","",""
