"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10135","Баг выбора валюты","chromium","Mon Feb 03 00:39:19 GMT 2025","passed","Mon Feb 03 00:39:30 GMT 2025","","tests.spec.js","",""
"","7296","Баг выбора количества товара>","chromium","Mon Feb 03 00:41:02 GMT 2025","passed","Mon Feb 03 00:41:09 GMT 2025","","tests.spec.js","",""
"","6781","Баг пагинации на главной странице","chromium","Mon Feb 03 00:37:40 GMT 2025","failed","Mon Feb 03 00:37:47 GMT 2025","","tests.spec.js","",""
"","30012","Баг неполного изображения товара на главной странице","chromium","Mon Feb 03 00:38:49 GMT 2025","broken","Mon Feb 03 00:39:19 GMT 2025","","tests.spec.js","",""
"","30010","Баг публикации отзыва на странице продукта","chromium","Mon Feb 03 00:40:31 GMT 2025","broken","Mon Feb 03 00:41:01 GMT 2025","","tests.spec.js","",""
