"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30007","Баг выбора валюты","chromium","Tue Feb 03 01:01:22 UTC 2026","broken","Tue Feb 03 01:01:52 UTC 2026","","tests.spec.js","",""
"","30008","Баг неполного изображения товара на главной странице","chromium","Tue Feb 03 00:59:49 UTC 2026","broken","Tue Feb 03 01:00:19 UTC 2026","","tests.spec.js","",""
"","5855","Баг пагинации на главной странице","chromium","Tue Feb 03 00:58:41 UTC 2026","failed","Tue Feb 03 00:58:47 UTC 2026","","tests.spec.js","",""
"","30013","Баг публикации отзыва на странице продукта","chromium","Tue Feb 03 01:02:54 UTC 2026","broken","Tue Feb 03 01:03:24 UTC 2026","","tests.spec.js","",""
"","30009","Баг выбора количества товара>","chromium","Tue Feb 03 01:04:26 UTC 2026","broken","Tue Feb 03 01:04:56 UTC 2026","","tests.spec.js","",""
