"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30008","Баг выбора количества товара>","chromium","Tue Jan 27 00:55:07 UTC 2026","broken","Tue Jan 27 00:55:37 UTC 2026","","tests.spec.js","",""
"","30008","Баг неполного изображения товара на главной странице","chromium","Tue Jan 27 00:50:30 UTC 2026","broken","Tue Jan 27 00:51:00 UTC 2026","","tests.spec.js","",""
"","30008","Баг публикации отзыва на странице продукта","chromium","Tue Jan 27 00:53:35 UTC 2026","broken","Tue Jan 27 00:54:05 UTC 2026","","tests.spec.js","",""
"","30010","Баг выбора валюты","chromium","Tue Jan 27 00:52:03 UTC 2026","broken","Tue Jan 27 00:52:33 UTC 2026","","tests.spec.js","",""
"","6140","Баг пагинации на главной странице","chromium","Tue Jan 27 00:49:22 UTC 2026","failed","Tue Jan 27 00:49:28 UTC 2026","","tests.spec.js","",""
