"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30009","Баг неполного изображения товара на главной странице","chromium","Thu Oct 30 00:43:34 UTC 2025","broken","Thu Oct 30 00:44:04 UTC 2025","","tests.spec.js","",""
"","6371","Баг пагинации на главной странице","chromium","Thu Oct 30 00:42:25 UTC 2025","failed","Thu Oct 30 00:42:32 UTC 2025","","tests.spec.js","",""
"","30008","Баг публикации отзыва на странице продукта","chromium","Thu Oct 30 00:46:38 UTC 2025","broken","Thu Oct 30 00:47:08 UTC 2025","","tests.spec.js","",""
"","30009","Баг выбора количества товара>","chromium","Thu Oct 30 00:48:10 UTC 2025","broken","Thu Oct 30 00:48:40 UTC 2025","","tests.spec.js","",""
"","30009","Баг выбора валюты","chromium","Thu Oct 30 00:45:06 UTC 2025","broken","Thu Oct 30 00:45:36 UTC 2025","","tests.spec.js","",""
