"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6119","Баг пагинации на главной странице","chromium","Mon Feb 02 00:58:24 UTC 2026","failed","Mon Feb 02 00:58:31 UTC 2026","","tests.spec.js","",""
"","30009","Баг выбора валюты","chromium","Mon Feb 02 01:01:06 UTC 2026","broken","Mon Feb 02 01:01:36 UTC 2026","","tests.spec.js","",""
"","30009","Баг выбора количества товара>","chromium","Mon Feb 02 01:04:10 UTC 2026","broken","Mon Feb 02 01:04:40 UTC 2026","","tests.spec.js","",""
"","30008","Баг публикации отзыва на странице продукта","chromium","Mon Feb 02 01:02:38 UTC 2026","broken","Mon Feb 02 01:03:08 UTC 2026","","tests.spec.js","",""
"","30006","Баг неполного изображения товара на главной странице","chromium","Mon Feb 02 00:59:33 UTC 2026","broken","Mon Feb 02 01:00:03 UTC 2026","","tests.spec.js","",""
