"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6410","Баг пагинации на главной странице","chromium","2026-08-26","failed","2026-08-26","","tests.spec.js","",""
"","30007","Баг неполного изображения товара на главной странице","chromium","2026-08-26","broken","2026-08-26","","tests.spec.js","",""
"","30006","Баг выбора количества товара>","chromium","2026-08-26","broken","2026-08-26","","tests.spec.js","",""
"","30008","Баг выбора валюты","chromium","2026-08-26","broken","2026-08-26","","tests.spec.js","",""
"","30008","Баг публикации отзыва на странице продукта","chromium","2026-08-26","broken","2026-08-26","","tests.spec.js","",""
