"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30009","Баг неполного изображения товара на главной странице","chromium","Tue Apr 22 00:40:27 GMT 2025","broken","Tue Apr 22 00:40:57 GMT 2025","","tests.spec.js","",""
"","10375","Баг выбора валюты","chromium","Tue Apr 22 00:40:57 GMT 2025","passed","Tue Apr 22 00:41:08 GMT 2025","","tests.spec.js","",""
"","6557","Баг пагинации на главной странице","chromium","Tue Apr 22 00:39:18 GMT 2025","failed","Tue Apr 22 00:39:25 GMT 2025","","tests.spec.js","",""
"","30010","Баг публикации отзыва на странице продукта","chromium","Tue Apr 22 00:42:09 GMT 2025","broken","Tue Apr 22 00:42:39 GMT 2025","","tests.spec.js","",""
"","6529","Баг выбора количества товара>","chromium","Tue Apr 22 00:42:40 GMT 2025","passed","Tue Apr 22 00:42:47 GMT 2025","","tests.spec.js","",""
