"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30010","Баг публикации отзыва на странице продукта","chromium","Fri Aug 08 00:52:12 GMT 2025","broken","Fri Aug 08 00:52:42 GMT 2025","","tests.spec.js","",""
"","30010","Баг пагинации на главной странице","chromium","Fri Aug 08 00:47:35 GMT 2025","broken","Fri Aug 08 00:48:06 GMT 2025","","tests.spec.js","",""
"","30011","Баг выбора валюты","chromium","Fri Aug 08 00:50:40 GMT 2025","broken","Fri Aug 08 00:51:10 GMT 2025","","tests.spec.js","",""
"","30008","Баг выбора количества товара>","chromium","Fri Aug 08 00:53:44 GMT 2025","broken","Fri Aug 08 00:54:14 GMT 2025","","tests.spec.js","",""
"","30010","Баг неполного изображения товара на главной странице","chromium","Fri Aug 08 00:49:08 GMT 2025","broken","Fri Aug 08 00:49:38 GMT 2025","","tests.spec.js","",""
