"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30013","Баг неполного изображения товара на главной странице","chromium","Sat Sep 27 00:39:56 UTC 2025","broken","Sat Sep 27 00:40:26 UTC 2025","","tests.spec.js","",""
"","30011","Баг выбора количества товара>","chromium","Sat Sep 27 00:44:33 UTC 2025","broken","Sat Sep 27 00:45:03 UTC 2025","","tests.spec.js","",""
"","6502","Баг пагинации на главной странице","chromium","Sat Sep 27 00:38:48 UTC 2025","failed","Sat Sep 27 00:38:54 UTC 2025","","tests.spec.js","",""
"","30009","Баг публикации отзыва на странице продукта","chromium","Sat Sep 27 00:43:01 UTC 2025","broken","Sat Sep 27 00:43:31 UTC 2025","","tests.spec.js","",""
"","30009","Баг выбора валюты","chromium","Sat Sep 27 00:41:29 UTC 2025","broken","Sat Sep 27 00:41:59 UTC 2025","","tests.spec.js","",""
