"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30009","Баг неполного изображения товара на главной странице","chromium","Tue Jul 01 00:50:19 GMT 2025","broken","Tue Jul 01 00:50:49 GMT 2025","","tests.spec.js","",""
"","7423","Баг выбора количества товара>","chromium","Tue Jul 01 00:52:32 GMT 2025","passed","Tue Jul 01 00:52:40 GMT 2025","","tests.spec.js","",""
"","7265","Баг пагинации на главной странице","chromium","Tue Jul 01 00:49:09 GMT 2025","failed","Tue Jul 01 00:49:17 GMT 2025","","tests.spec.js","",""
"","10201","Баг выбора валюты","chromium","Tue Jul 01 00:50:50 GMT 2025","passed","Tue Jul 01 00:51:00 GMT 2025","","tests.spec.js","",""
"","30011","Баг публикации отзыва на странице продукта","chromium","Tue Jul 01 00:52:02 GMT 2025","broken","Tue Jul 01 00:52:32 GMT 2025","","tests.spec.js","",""
