"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30010","Баг неполного изображения товара на главной странице","chromium","2026-08-13","broken","2026-08-13","","tests.spec.js","",""
"","30007","Баг выбора количества товара>","chromium","2026-08-13","broken","2026-08-13","","tests.spec.js","",""
"","30007","Баг выбора валюты","chromium","2026-08-13","broken","2026-08-13","","tests.spec.js","",""
"","6269","Баг пагинации на главной странице","chromium","2026-08-13","failed","2026-08-13","","tests.spec.js","",""
"","30008","Баг публикации отзыва на странице продукта","chromium","2026-08-13","broken","2026-08-13","","tests.spec.js","",""
